,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,Id,KitchenAbvGr,KitchenQual,LotArea,LotConfig,LotFrontage,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,CentralAir_N,CentralAir_Y,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,Street_Grvl,Street_Pave,Utilities_AllPub,Utilities_ELO,Utilities_NoSeWa,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,target1
10,1040,0,0,3,0.0,3.0,1.0,906.0,0.0,3.0,1.0,1.0,0.0,2.0,134.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,384.0,1.0,3.0,1.0,3.0,1.0,1965.0,1040,0,1.0,4.0,11,1,2.0,11200,4.0,70.0,0,20,1.0,0.0,3.0,0,2,0,5,5,2.0,0,0.0,1.0,3.0,4.0,8.0,0,5,1040.0,0,1965,1965,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,129500
11,1182,1142,0,4,0.0,3.0,1.0,998.0,0.0,6.0,1.0,1.0,0.0,4.0,177.0,2.0,2.0,4.0,0,2.0,4.0,0.0,0.0,4.0,2,2.0,3,7.0,736.0,3.0,3.0,3.0,3.0,3.0,2005.0,2324,0,1.0,4.0,12,1,4.0,11924,4.0,85.0,0,60,1.0,286.0,6.0,0,7,21,5,9,2.0,0,0.0,1.0,3.0,5.0,6.0,0,11,1175.0,147,2005,2006,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,345000
12,912,0,0,2,0.0,3.0,1.0,737.0,0.0,5.0,1.0,1.0,0.0,2.0,175.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,352.0,1.0,3.0,1.0,3.0,1.0,1962.0,912,0,1.0,2.0,13,1,2.0,12968,4.0,68.0,0,20,1.0,0.0,5.0,0,9,0,6,5,2.0,0,0.0,1.0,3.0,4.0,8.0,176,4,912.0,140,1962,1962,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,144000
13,1494,0,0,3,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1494.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,2,7.0,840.0,3.0,3.0,2.0,3.0,5.0,2006.0,1494,0,1.0,4.0,14,1,3.0,10652,4.0,91.0,0,20,1.0,306.0,1.0,0,8,33,5,7,2.0,0,0.0,1.0,1.0,5.0,6.0,0,7,1494.0,160,2006,2007,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,279500
14,1253,0,0,2,0.0,3.0,1.0,733.0,0.0,4.0,1.0,1.0,0.0,2.0,520.0,2.0,2.0,4.0,176,2.0,2.0,0.0,0.0,2.0,1,1.0,1,7.0,352.0,1.0,3.0,2.0,3.0,5.0,1960.0,1253,1,1.0,2.0,15,1,2.0,10920,0.0,68.0,0,20,1.0,212.0,4.0,0,5,213,5,6,2.0,0,0.0,1.0,3.0,4.0,8.0,0,5,1253.0,0,1960,1960,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,157000
15,854,0,0,2,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,832.0,2.0,2.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0,0.0,1,7.0,576.0,2.0,3.0,1.0,3.0,1.0,1991.0,854,0,1.0,4.0,16,1,2.0,6120,0.0,51.0,0,45,0.0,0.0,1.0,0,7,112,8,7,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,832.0,48,1929,2001,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,132000
16,1004,0,0,2,0.0,3.0,1.0,578.0,0.0,5.0,1.0,1.0,0.0,2.0,426.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,3.0,1,1.0,1,7.0,480.0,2.0,3.0,3.0,3.0,5.0,1970.0,1004,0,1.0,4.0,17,1,2.0,11241,1.0,68.0,0,20,1.0,180.0,5.0,700,3,0,7,6,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,1004.0,0,1970,1970,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,149000
17,1296,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0,2.0,2.0,2.0,2.0,0.0,0,3.0,2,7.0,516.0,2.0,3.0,1.0,3.0,2.0,1967.0,1296,0,1.0,2.0,18,2,2.0,10791,4.0,72.0,0,90,1.0,0.0,0.0,500,10,0,5,4,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,0.0,0,1967,1967,2006,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,90000
18,1114,0,0,3,0.0,3.0,1.0,646.0,0.0,6.0,1.0,1.0,0.0,2.0,468.0,5.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,2.0,1,7.0,576.0,2.0,3.0,1.0,3.0,1.0,2004.0,1114,1,1.0,4.0,19,1,3.0,13695,4.0,66.0,0,20,1.0,0.0,6.0,0,6,102,5,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1114.0,0,2004,2004,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,159000
19,1339,0,0,3,0.0,3.0,1.0,504.0,0.0,2.0,1.0,0.0,0.0,2.0,525.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,5.0,294.0,1.0,3.0,1.0,3.0,5.0,1958.0,1339,0,1.0,2.0,20,1,2.0,7560,4.0,70.0,0,20,1.0,0.0,2.0,0,5,0,6,5,2.0,0,0.0,1.0,3.0,0.0,0.0,0,6,1029.0,0,1958,1965,2009,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,139000
20,1158,1218,0,4,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1158.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,3,7.0,853.0,3.0,3.0,2.0,3.0,3.0,2005.0,2376,1,1.0,4.0,21,1,3.0,14215,0.0,101.0,0,60,1.0,380.0,1.0,0,11,154,5,8,2.0,0,0.0,1.0,1.0,5.0,6.0,0,9,1158.0,240,2005,2006,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,325300
21,1108,0,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,637.0,2.0,2.0,1.0,205,2.0,2.0,0.0,0.0,4.0,1,2.0,1,7.0,280.0,1.0,3.0,1.0,3.0,5.0,1930.0,1108,0,1.0,4.0,22,1,3.0,7449,4.0,57.0,0,45,0.0,0.0,1.0,0,6,0,7,7,1.0,0,0.0,1.0,1.0,4.0,8.0,0,6,637.0,0,1930,1950,2007,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,139400
22,1795,0,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1777.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,2,7.0,534.0,2.0,3.0,2.0,3.0,5.0,2002.0,1795,0,1.0,4.0,23,1,3.0,9742,4.0,75.0,0,20,1.0,281.0,1.0,0,9,159,5,8,2.0,0,0.0,1.0,3.0,4.0,8.0,0,7,1777.0,171,2002,2002,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,230000
23,1060,0,0,3,4.0,3.0,1.0,840.0,0.0,6.0,1.0,1.0,0.0,3.0,200.0,2.0,2.0,4.0,0,2.0,2.0,4.0,4.0,3.0,1,2.0,1,7.0,572.0,2.0,3.0,1.0,3.0,5.0,1976.0,1060,0,1.0,2.0,24,1,2.0,4224,4.0,44.0,0,120,0.0,0.0,6.0,0,6,110,7,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1040.0,100,1976,1976,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,129900
24,1060,0,0,3,0.0,3.0,2.0,188.0,668.0,3.0,5.0,1.0,0.0,2.0,204.0,2.0,2.0,4.0,0,3.0,2.0,0.0,0.0,3.0,1,1.0,1,7.0,270.0,1.0,3.0,1.0,3.0,5.0,1968.0,1060,0,1.0,4.0,25,1,3.0,8246,4.0,68.0,0,20,1.0,0.0,3.0,0,5,90,8,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1060.0,406,1968,2001,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,154000
25,1600,0,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1566.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,2,7.0,890.0,3.0,3.0,2.0,3.0,5.0,2007.0,1600,0,1.0,4.0,26,1,3.0,14230,0.0,110.0,0,20,1.0,640.0,1.0,0,7,56,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,7,1566.0,0,2007,2007,2009,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,256300
26,900,0,0,3,0.0,3.0,2.0,234.0,486.0,4.0,3.0,0.0,1.0,2.0,180.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,576.0,2.0,3.0,1.0,3.0,1.0,2005.0,900,0,1.0,2.0,27,1,3.0,7200,0.0,60.0,0,20,1.0,0.0,4.0,0,5,32,7,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,900.0,222,1951,2000,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,134800
27,1704,0,0,3,0.0,3.0,1.0,1218.0,0.0,6.0,1.0,1.0,0.0,4.0,486.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,2,7.0,772.0,3.0,3.0,2.0,3.0,5.0,2008.0,1704,0,1.0,4.0,28,1,3.0,11478,4.0,98.0,0,20,1.0,200.0,6.0,0,5,50,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,7,1704.0,0,2007,2008,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,306000
28,1600,0,0,2,0.0,3.0,4.0,1277.0,0.0,4.0,1.0,1.0,0.0,2.0,207.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,4.0,2,1.0,1,7.0,319.0,1.0,3.0,2.0,3.0,5.0,1957.0,1600,0,1.0,2.0,29,1,2.0,16321,1.0,47.0,0,20,1.0,0.0,4.0,0,12,258,6,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1484.0,288,1957,1997,2006,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,207500
29,520,0,0,1,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,520.0,1.0,7.0,4.0,87,2.0,2.0,0.0,0.0,0.0,0,0.0,1,7.0,240.0,1.0,3.0,1.0,2.0,1.0,1920.0,520,0,1.0,1.0,30,1,1.0,6324,4.0,60.0,0,30,0.0,0.0,1.0,0,5,0,6,4,2.0,0,0.0,1.0,1.0,4.0,8.0,0,4,520.0,49,1927,1950,2008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,68500
30,649,668,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,649.0,1.0,2.0,4.0,172,1.0,2.0,0.0,0.0,0.0,0,0.0,1,7.0,250.0,1.0,2.0,1.0,3.0,1.0,1920.0,1317,0,1.0,2.0,31,1,2.0,8500,4.0,50.0,0,70,4.0,0.0,1.0,0,7,54,4,4,1.0,0,0.0,1.0,2.0,4.0,8.0,0,6,649.0,0,1920,1950,2008,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,40000
31,1228,0,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1228.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,271.0,1.0,3.0,1.0,3.0,5.0,1966.0,1228,1,1.0,3.0,32,1,3.0,8544,1.0,68.0,0,20,1.0,0.0,1.0,0,6,65,6,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1228.0,0,1966,2006,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,149350
32,1234,0,0,3,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1234.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,0.0,0,2.0,2,7.0,484.0,2.0,3.0,2.0,3.0,5.0,2007.0,1234,0,1.0,4.0,33,1,3.0,11049,0.0,85.0,0,20,1.0,0.0,1.0,0,1,30,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,7,1234.0,0,2007,2007,2008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,179900
33,1700,0,0,4,0.0,3.0,1.0,1018.0,0.0,3.0,1.0,0.0,1.0,2.0,380.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,4.0,1,1.0,1,7.0,447.0,2.0,3.0,2.0,3.0,5.0,1959.0,1700,1,1.0,3.0,34,1,3.0,10552,4.0,70.0,0,20,1.0,0.0,3.0,0,4,38,5,5,2.0,0,0.0,1.0,3.0,4.0,8.0,0,6,1398.0,0,1959,1959,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,165500
34,1561,0,0,2,4.0,3.0,1.0,1153.0,0.0,6.0,1.0,1.0,0.0,4.0,408.0,2.0,2.0,4.0,0,2.0,4.0,4.0,4.0,4.0,1,2.0,2,7.0,556.0,2.0,3.0,3.0,3.0,5.0,2005.0,1561,0,1.0,4.0,35,1,4.0,7313,4.0,60.0,0,120,1.0,246.0,6.0,0,8,47,5,9,2.0,0,0.0,1.0,3.0,4.0,8.0,0,6,1561.0,203,2005,2005,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,277500
35,1132,1320,0,4,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1117.0,2.0,2.0,4.0,0,2.0,3.0,0.0,0.0,4.0,1,2.0,3,7.0,691.0,3.0,3.0,3.0,3.0,3.0,2004.0,2452,1,1.0,4.0,36,1,3.0,13418,4.0,108.0,0,60,1.0,132.0,1.0,0,9,32,5,8,2.0,0,0.0,1.0,1.0,4.0,8.0,0,9,1117.0,113,2004,2005,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,309000
36,1097,0,0,3,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1097.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,2.0,1,7.0,672.0,2.0,3.0,1.0,3.0,5.0,1995.0,1097,1,1.0,4.0,37,1,2.0,10859,0.0,112.0,0,20,1.0,0.0,1.0,0,6,64,5,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,6,1097.0,392,1994,1995,2009,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,145000
37,1297,0,0,3,0.0,3.0,1.0,1213.0,0.0,3.0,1.0,0.0,1.0,2.0,84.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,3.0,1,1.0,1,7.0,498.0,2.0,3.0,3.0,3.0,5.0,1954.0,1297,0,1.0,3.0,38,1,2.0,8532,4.0,74.0,0,20,1.0,650.0,3.0,0,10,0,6,5,2.0,0,0.0,1.0,3.0,4.0,8.0,0,5,1297.0,0,1954,1990,2009,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,153000
38,1057,0,0,3,0.0,3.0,1.0,731.0,0.0,6.0,1.0,1.0,0.0,2.0,326.0,2.0,2.0,4.0,0,3.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,246.0,1.0,3.0,1.0,3.0,1.0,1953.0,1057,0,1.0,2.0,39,1,3.0,7922,4.0,68.0,0,20,1.0,0.0,6.0,0,1,52,7,5,2.0,0,0.0,1.0,1.0,0.0,8.0,0,5,1057.0,0,1953,2007,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,109000
39,1152,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,0.0,0,2.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1152,0,1.0,2.0,40,2,1.0,6040,4.0,65.0,0,90,1.0,0.0,0.0,0,6,0,5,4,1.0,0,0.0,1.0,1.0,1.0,8.0,0,6,0.0,0,1955,1955,2008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,82000
40,1324,0,0,3,0.0,3.0,1.0,643.0,0.0,3.0,1.0,0.0,0.0,2.0,445.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,3.0,1,1.0,2,7.0,440.0,2.0,3.0,2.0,3.0,5.0,1965.0,1324,0,1.0,4.0,41,1,2.0,8658,4.0,84.0,0,20,1.0,101.0,3.0,0,12,138,5,6,2.0,0,0.0,1.0,1.0,0.0,8.0,0,6,1088.0,0,1965,1965,2006,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,160000
41,1328,0,0,2,0.0,3.0,4.0,967.0,0.0,4.0,1.0,0.0,1.0,2.0,383.0,2.0,2.0,4.0,0,3.0,2.0,0.0,0.0,4.0,2,1.0,1,7.0,308.0,1.0,3.0,2.0,3.0,5.0,1959.0,1328,1,1.0,3.0,42,1,2.0,16905,4.0,115.0,0,20,1.0,0.0,4.0,0,7,104,6,5,0.0,0,0.0,1.0,1.0,4.0,8.0,0,5,1350.0,0,1959,1959,2007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,170000
42,884,0,0,2,0.0,3.0,3.0,747.0,93.0,5.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,0,2.0,2.0,0.0,0.0,0.0,0,1.0,1,7.0,504.0,2.0,4.0,2.0,3.0,5.0,1983.0,884,0,1.0,3.0,43,1,3.0,9180,1.0,68.0,0,85,1.0,0.0,5.0,0,12,0,7,5,2.0,0,0.0,1.0,1.0,4.0,8.0,0,5,840.0,240,1983,1983,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,144000
